count,pizza_id
1811,big_meat_s
1365,thai_ckn_l
1359,five_cheese_l
1273,four_cheese_l
1159,classic_dlx_m
1088,spicy_ital_l
1001,hawaiian_s
993,southw_ckn_l
967,bbq_ckn_l
926,bbq_ckn_m
920,ital_supr_m
918,pepperoni_m
914,cali_ckn_m
896,hawaiian_l
895,cali_ckn_l
844,mexicana_l
786,classic_dlx_s
739,pepperoni_s
735,ital_supr_l
731,sicilian_s
715,ital_cpcllo_l
712,pepperoni_l
697,ckn_alfredo_m
680,peppr_salami_l
630,veggie_veg_m
596,sicilian_l
593,green_garden_s
585,prsc_argla_m
577,four_cheese_m
570,pep_msh_pep_s
560,sicilian_m
558,spinach_fet_m
557,napolitana_l
554,calabrese_m
544,the_greek_xl
526,southw_ckn_m
493,cali_ckn_s
483,ital_veggie_m
480,brie_carre_s
479,bbq_ckn_s
476,thai_ckn_s
474,thai_ckn_m
473,hawaiian_m
471,classic_dlx_l
468,napolitana_s
457,veggie_veg_s
452,mexicana_m
437,spinach_fet_l
437,spinach_fet_s
426,napolitana_m
424,peppr_salami_m
423,veggie_veg_l
423,prsc_argla_l
420,prsc_argla_s
401,soppressata_l
400,spicy_ital_m
399,ital_cpcllo_m
399,spicy_ital_s
397,spin_pesto_s
394,spinach_supr_s
392,ckn_pesto_l
391,pep_msh_pep_m
381,pep_msh_pep_l
366,southw_ckn_s
364,mediterraneo_l
318,peppr_salami_s
302,ital_veggie_s
300,ital_cpcllo_s
300,green_garden_m
300,the_greek_s
295,ckn_pesto_s
288,mediterraneo_s
288,soppressata_s
281,spin_pesto_m
280,spinach_supr_l
279,spin_pesto_l
279,the_greek_m
274,ckn_pesto_m
274,calabrese_l
271,mediterraneo_m
268,soppressata_m
266,spinach_supr_m
255,the_greek_l
194,ital_supr_s
190,ital_veggie_l
187,ckn_alfredo_l
160,mexicana_s
99,calabrese_s
96,ckn_alfredo_s
94,green_garden_l
28,the_greek_xxl
